,Player,Pos.,Team,PassYds,PassTD,Int,PassAtt,Cmp,Rec,Tgt,RecYds,RecTD,RushYds,RushAtt,RushTD,FantPoints
106,George Pickens,WR,PIT,0,0,0,0,0,5,7,36,0,0,0,0,8.6
107,Gerald Everett,TE,LAC,0,0,0,0,0,2,3,21,0,2,1,0,4.3
108,Greg Dulcich,TE,DEN,0,0,0,0,0,2,2,22,0,0,0,0,4.2
109,Gus Edwards,RB,BAL,0,0,0,0,0,0,0,0,0,32,8,0,3.2
110,Harrison Bryant,TE,CLE,0,0,0,0,0,2,2,5,1,0,0,0,8.5
111,Hayden Hurst,TE,CAR,0,0,0,0,0,5,7,41,1,0,0,0,15.1
112,Hunter Henry,TE,NWE,0,0,0,0,0,5,6,56,1,0,0,0,16.6
113,Irv Smith Jr.,TE,CIN,0,0,0,0,0,3,5,17,0,0,0,0,4.7
114,Isaiah Hodgins,WR,NYG,0,0,0,0,0,1,3,24,0,0,0,0,3.4
115,Isiah Pacheco,RB,KAN,0,0,0,0,0,4,4,31,0,23,8,0,9.399999999999999
116,J.K. Dobbins,RB,BAL,0,0,0,0,0,2,3,15,0,22,8,1,11.7
117,Ja'Marr Chase,WR,CIN,0,0,0,0,0,5,9,39,0,2,1,0,9.1
118,Jahan Dotson,WR,WAS,0,0,0,0,0,5,7,40,0,0,0,0,9.0
119,Jahmyr Gibbs,RB,DET,0,0,0,0,0,2,2,18,0,42,7,0,8.0
120,Jake Browning,QB,CIN,0,0,0,1,0,0,0,0,0,-1,1,0,-0.1
121,Jake Ferguson,TE,DAL,0,0,0,0,0,2,7,11,0,0,0,0,3.1
122,Jake Funk,RB,IND,0,0,0,0,0,1,1,12,0,10,2,0,3.2
123,Jakobi Meyers,WR,LVR,0,0,0,0,0,9,10,81,2,0,0,0,29.1
124,Jalen Hurts,QB,PHI,170,1,0,33,22,0,0,0,0,37,9,0,14.5
125,Jalen Reeves-Maybin,LB,DET,0,0,0,0,0,0,0,0,0,3,1,0,0.3
126,Jamaal Williams,RB,NOR,0,0,0,0,0,2,2,7,0,45,18,0,7.2
127,Jamal Agnew,WR,JAX,0,0,0,0,0,0,0,0,0,-2,2,0,-0.2
128,James Conner,RB,ARI,0,0,0,0,0,5,5,8,0,62,14,0,12.0
129,James Cook,RB,BUF,0,0,0,0,0,4,6,17,0,46,12,0,10.3
130,Jared Goff,QB,DET,253,1,0,35,22,0,0,0,0,-1,5,0,14.02
131,Javonte Williams,RB,DEN,0,0,0,0,0,0,0,0,0,52,13,0,5.2
132,Jaxon Smith-Njigba,WR,SEA,0,0,0,0,0,3,5,13,0,0,0,0,4.3
133,Jayden Reed,WR,GNB,0,0,0,0,0,2,5,48,0,-2,1,0,6.6
134,Jaylen Waddle,WR,MIA,0,0,0,0,0,4,5,78,0,0,0,0,11.8
135,Jaylen Warren,RB,PIT,0,0,0,0,0,5,6,12,0,6,3,0,6.8
136,Jerick McKinnon,RB,KAN,0,0,0,0,0,1,2,10,0,0,0,0,2.0
137,Jerome Ford,RB,CLE,0,0,0,0,0,0,0,0,0,36,15,0,3.6
138,Jimmy Garoppolo,QB,LVR,200,2,1,26,20,0,0,0,0,11,9,0,15.1
139,Joe Burrow,QB,CIN,82,0,0,31,14,0,0,0,0,-1,1,0,3.1799999999999997
140,Joe Mixon,RB,CIN,0,0,0,0,0,3,5,17,0,56,13,0,10.3
141,Jonathan Mingo,WR,CAR,0,0,0,0,0,2,5,17,0,0,0,0,3.7
142,Jordan Addison,WR,MIN,0,0,0,0,0,4,6,61,1,0,0,0,16.1
143,Jordan Akins,TE,CLE,0,0,0,0,0,1,1,12,0,0,0,0,2.2
144,Jordan Love,QB,GNB,245,3,0,27,15,0,0,0,0,12,3,0,23.0
145,Josh Allen,QB,BUF,236,1,3,41,29,0,0,0,0,36,6,0,11.04
146,Josh Downs,WR,IND,0,0,0,0,0,3,7,30,0,0,0,0,6.0
147,Josh Jacobs,RB,LVR,0,0,0,0,0,2,3,23,0,48,19,0,9.1
148,Josh Oliver,TE,MIN,0,0,0,0,0,3,3,32,0,0,0,0,6.2
149,Josh Reynolds,WR,DET,0,0,0,0,0,4,7,80,0,0,0,0,12.0
150,Joshua Dobbs,QB,ARI,132,0,0,30,21,0,0,0,0,-3,3,0,4.98
151,Joshua Kelley,RB,LAC,0,0,0,0,0,0,0,0,0,91,16,1,15.1
152,JuJu Smith-Schuster,WR,NWE,0,0,0,0,0,4,7,33,0,0,0,0,7.3
153,Justice Hill,RB,BAL,0,0,0,0,0,0,0,0,0,9,8,2,12.9
154,Justin Fields,QB,CHI,216,1,1,37,24,0,0,0,0,59,9,0,16.54
155,Justin Herbert,QB,LAC,229,1,0,33,23,0,0,0,0,17,5,1,20.86
156,Justin Jefferson,WR,MIN,0,0,0,0,0,9,12,150,0,0,0,0,24.0
157,Justin Watson,WR,KAN,0,0,0,0,0,2,4,45,0,0,0,0,6.5
158,Justyn Ross,WR,KAN,0,0,0,0,0,1,1,6,0,0,0,0,1.6
159,Juwan Johnson,TE,NOR,0,0,0,0,0,3,5,36,0,0,0,0,6.6
160,K.J. Osborn,WR,MIN,0,0,0,0,0,3,6,31,0,0,0,0,6.1
161,KaVontae Turpin,WR,DAL,0,0,0,0,0,2,3,11,0,14,3,1,10.5
